Age,Gender,NumberOfChildren,CommuteTime,CountryOfResidence,HoursSpentLearningToCode,Income,IsSoftwareDev,LanguageAtHome,MaritalStatus,MoneySpentLearningToCode,MonthsSpentProgramming,ResourceBooks,ResourceCoursera,StudentDebtOwed,ID
28.0,male,,,Cambodia,14.0,,1.0,Khmer,married or domestic partnership,200.0,4.0,,1.0,,54245
26.0,male,,0.0,United Kingdom,25.0,50000.0,0.0,English,,50.0,5.0,,,40000.0,78840
29.0,male,,0.0,United States of America,10.0,60000.0,0.0,English,,500.0,6.0,,,115000.0,88126
31.0,female,,90.0,Canada,4.0,28000.0,0.0,English,,0.0,4.0,,,12000.0,26684
21.0,male,,,Algeria,14.0,,0.0,Arabic,,0.0,1.0,,,,64808
29.0,female,,60.0,United States of America,15.0,25000.0,0.0,English,,200.0,24.0,,,,71652
26.0,female,,20.0,United States of America,5.0,,0.0,English,,50.0,2.0,,1.0,30000.0,24834
19.0,female,,,United States of America,15.0,,0.0,Yue (Cantonese) Chinese,,0.0,36.0,,,,97286
25.0,male,,,Ireland,12.0,,0.0,English,,,2.0,,,15000.0,37625
31.0,male,,15.0,United States of America,5.0,45000.0,0.0,English,,300.0,12.0,,,30000.0,51007
37.0,male,,,United States of America,40.0,,0.0,English,,500.0,6.0,,1.0,,22381
27.0,male,,,United States of America,,,0.0,English,,0.0,2.0,,,,69323
19.0,male,,,United States of America,7.0,,0.0,Tamil,,50.0,10.0,,1.0,,17021
50.0,female,,0.0,United States of America,20.0,,0.0,English,,500.0,36.0,,1.0,,54809
24.0,male,,200.0,United States of America,40.0,20000.0,0.0,English,,200.0,5.0,,,20000.0,84257
31.0,female,,35.0,Canada,4.0,35000.0,0.0,French,,100.0,24.0,,1.0,,56596
24.0,female,,,Canada,60.0,,0.0,English,,5500.0,2.0,,,,10497
30.0,female,,,United States of America,30.0,,0.0,English,,0.0,12.0,,1.0,,54681
49.0,male,,75.0,United States of America,15.0,90000.0,1.0,English,married or domestic partnership,6000.0,15.0,,,,68332
45.0,male,,,United States of America,40.0,,0.0,English,,0.0,,,,5000.0,41200
20.0,male,,,United States of America,42.0,,0.0,Urdu,,200.0,4.0,,,,14831
21.0,male,,,Russia,20.0,,0.0,Russian,,0.0,12.0,,1.0,,14177
36.0,male,,5.0,Mexico,3.0,20000.0,0.0,Spanish,married or domestic partnership,2000.0,60.0,,1.0,,25483
51.0,female,,40.0,United States of America,10.0,125000.0,0.0,English,,0.0,4.0,,,,65754
22.0,male,,,United States of America,15.0,,0.0,English,,0.0,10.0,,1.0,2000.0,50299
30.0,male,,90.0,United Kingdom,6.0,40000.0,0.0,Bengali,,200.0,3.0,,,18000.0,93094
32.0,male,,,United States of America,30.0,,0.0,English,married or domestic partnership,4000.0,16.0,,,,70665
26.0,male,,20.0,Israel,30.0,36000.0,1.0,Russian,"single, never married",400.0,36.0,,,,99174
31.0,female,,60.0,United States of America,5.0,50000.0,0.0,Yue (Cantonese) Chinese,,250.0,4.0,,,,27928
31.0,male,,35.0,United States of America,4.0,13000.0,0.0,English,,100.0,4.0,,,8000.0,31529
23.0,male,,30.0,United Kingdom,20.0,20000.0,0.0,English,,0.0,1.0,,,32000.0,89641
25.0,male,,,Mexico,40.0,,0.0,Spanish,,2500.0,6.0,,,,18616
26.0,male,,120.0,United States of America,15.0,29000.0,0.0,English,,300.0,16.0,,,1000.0,28761
28.0,male,,40.0,Peru,8.0,20000.0,0.0,Spanish,"single, never married",0.0,1.0,,1.0,,59494
17.0,male,,,Australia,10.0,,0.0,English,,35.0,36.0,,,,99327
17.0,male,,,Colombia,24.0,,0.0,Spanish,,0.0,1.0,,1.0,,29459
26.0,male,,10.0,United States of America,10.0,13500.0,0.0,English,,300.0,6.0,,,,20647
30.0,male,,105.0,Canada,4.0,25000.0,1.0,English,,5000.0,42.0,,1.0,20000.0,97556
32.0,male,,50.0,United States of America,4.0,50000.0,0.0,English,,400.0,3.0,,1.0,,87536
31.0,male,,35.0,Hong Kong,15.0,105000.0,0.0,English,,200.0,40.0,,1.0,,71912
20.0,male,,25.0,United States of America,8.0,10000.0,0.0,English,,0.0,1.0,,,,52528
28.0,male,,30.0,United States of America,5.0,,0.0,English,,0.0,24.0,,,,74566
21.0,male,,,Ukraine,,,0.0,Russian,,0.0,40.0,,,,49302
31.0,male,,60.0,United States of America,12.0,45000.0,0.0,English,,500.0,8.0,,,98000.0,36798
25.0,male,,,United States of America,5.0,,0.0,English,,0.0,24.0,,,30000.0,26870
30.0,male,,0.0,Poland,10.0,30000.0,1.0,Polish,,100.0,24.0,,1.0,,21774
28.0,male,,,Mexico,8.0,,0.0,Spanish,,0.0,36.0,,1.0,,52135
25.0,female,,,United States of America,20.0,,1.0,English,,300.0,4.0,,,17000.0,24464
32.0,female,,120.0,Korea South,10.0,36000.0,0.0,English,,100.0,4.0,,1.0,30000.0,35976
33.0,male,,,Canada,30.0,,0.0,English,,1000.0,24.0,,,35000.0,62030
52.0,male,,30.0,United States of America,30.0,45000.0,1.0,English,,25000.0,24.0,,,25000.0,89103
31.0,female,,,United States of America,30.0,,0.0,English,,500.0,1.0,,,,43012
50.0,male,,30.0,United States of America,4.0,90000.0,0.0,English,married or domestic partnership,50.0,12.0,,,,73650
28.0,male,,45.0,Canada,20.0,45000.0,0.0,English,"single, never married",500.0,14.0,,,,63807
31.0,male,,35.0,United States of America,20.0,40000.0,1.0,English,married or domestic partnership,0.0,18.0,,,40000.0,41160
20.0,male,,,Israel,,,0.0,English,,,,,,,39129
24.0,male,,5.0,United States of America,5.0,32000.0,0.0,English,married or domestic partnership,60.0,36.0,1.0,,1500.0,78702
22.0,male,,,Australia,15.0,,0.0,English,,130.0,5.0,,,6000.0,76390
29.0,female,,60.0,United States of America,15.0,33000.0,0.0,English,"single, never married",300.0,18.0,,,11000.0,30448
26.0,male,,,Colombia,20.0,,1.0,Spanish,,0.0,48.0,,1.0,,49582
25.0,male,,20.0,United States of America,12.0,8000.0,0.0,English,,200.0,6.0,,1.0,,99445
40.0,male,,,Chile,20.0,,0.0,English,,0.0,8.0,,1.0,,29596
30.0,male,,,United States of America,50.0,,0.0,English,,300.0,3.0,,,,39240
24.0,female,,65.0,United States of America,1.0,30000.0,0.0,Yue (Cantonese) Chinese,,1200.0,3.0,,,,25649
24.0,male,,,United Kingdom,20.0,,0.0,English,,100.0,2.0,,,,27420
31.0,female,,13.0,United States of America,7.0,21000.0,0.0,English,,500.0,8.0,,1.0,73000.0,82817
16.0,male,,,United States of America,32.0,,0.0,English,,150.0,12.0,,,,48235
22.0,male,,60.0,United States of America,20.0,15000.0,1.0,English,,50.0,48.0,,,15000.0,48133
