Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed
Melbourne-Hobart,Melbourne,Hobart,Virgin Australia,2015-11-01,143.0,143,0.0,128.0,130.0,15.0,13.0
Melbourne-Launceston,Melbourne,Launceston,Virgin Australia,2015-11-01,91.0,91,0.0,81.0,80.0,10.0,11.0
Melbourne-Mildura,Melbourne,Mildura,Virgin Australia,2015-11-01,30.0,30,0.0,28.0,28.0,2.0,2.0
Melbourne-Newcastle,Melbourne,Newcastle,Virgin Australia,2015-11-01,31.0,31,0.0,26.0,28.0,5.0,3.0
Melbourne-Perth,Melbourne,Perth,Virgin Australia,2015-11-01,141.0,140,1.0,112.0,119.0,28.0,21.0
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Virgin Australia,2015-11-01,31.0,31,0.0,29.0,30.0,2.0,1.0
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2015-11-01,780.0,760,20.0,676.0,654.0,84.0,106.0
Mildura-Melbourne,Mildura,Melbourne,Virgin Australia,2015-11-01,30.0,30,0.0,29.0,29.0,1.0,1.0
Mount Isa-Brisbane,Mount Isa,Brisbane,Virgin Australia,2015-11-01,21.0,21,0.0,19.0,19.0,2.0,2.0
Newcastle-Brisbane,Newcastle,Brisbane,Virgin Australia,2015-11-01,81.0,81,0.0,78.0,75.0,3.0,6.0
Newcastle-Melbourne,Newcastle,Melbourne,Virgin Australia,2015-11-01,31.0,31,0.0,27.0,25.0,4.0,6.0
Newman-Perth,Newman,Perth,Virgin Australia,2015-11-01,20.0,20,0.0,17.0,17.0,3.0,3.0
Perth-Adelaide,Perth,Adelaide,Virgin Australia,2015-11-01,77.0,77,0.0,72.0,71.0,5.0,6.0
Perth-Brisbane,Perth,Brisbane,Virgin Australia,2015-11-01,107.0,107,0.0,89.0,85.0,18.0,22.0
Perth-Broome,Perth,Broome,Virgin Australia,2015-11-01,9.0,9,0.0,8.0,8.0,1.0,1.0
Perth-Darwin,Perth,Darwin,Virgin Australia,2015-11-01,30.0,30,0.0,29.0,29.0,1.0,1.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia,2015-11-01,32.0,32,0.0,30.0,30.0,2.0,2.0
Perth-Karratha,Perth,Karratha,Virgin Australia,2015-11-01,43.0,43,0.0,41.0,41.0,2.0,2.0
Perth-Melbourne,Perth,Melbourne,Virgin Australia,2015-11-01,137.0,137,0.0,110.0,108.0,27.0,29.0
Perth-Newman,Perth,Newman,Virgin Australia,2015-11-01,20.0,20,0.0,18.0,17.0,2.0,3.0
Perth-Port Hedland,Perth,Port Hedland,Virgin Australia,2015-11-01,42.0,42,0.0,40.0,39.0,2.0,3.0
Perth-Sydney,Perth,Sydney,Virgin Australia,2015-11-01,115.0,114,1.0,96.0,95.0,18.0,19.0
Port Hedland-Perth,Port Hedland,Perth,Virgin Australia,2015-11-01,42.0,41,1.0,39.0,39.0,2.0,2.0
Proserpine-Brisbane,Proserpine,Brisbane,Virgin Australia,2015-11-01,52.0,52,0.0,49.0,50.0,3.0,2.0
Rockhampton-Brisbane,Rockhampton,Brisbane,Virgin Australia,2015-11-01,112.0,111,1.0,101.0,103.0,10.0,8.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Virgin Australia,2015-11-01,31.0,30,1.0,28.0,26.0,2.0,4.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Virgin Australia,2015-11-01,30.0,30,0.0,30.0,30.0,0.0,0.0
Sydney-Adelaide,Sydney,Adelaide,Virgin Australia,2015-11-01,171.0,169,2.0,150.0,147.0,19.0,22.0
Sydney-Ayers Rock,Sydney,Ayers Rock,Virgin Australia,2015-11-01,30.0,30,0.0,27.0,27.0,3.0,3.0
Sydney-Ballina,Sydney,Ballina,Virgin Australia,2015-11-01,31.0,31,0.0,30.0,25.0,1.0,6.0
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2015-11-01,544.0,531,13.0,444.0,426.0,87.0,105.0
Sydney-Cairns,Sydney,Cairns,Virgin Australia,2015-11-01,86.0,86,0.0,75.0,72.0,11.0,14.0
Sydney-Canberra,Sydney,Canberra,Virgin Australia,2015-11-01,28.0,27,1.0,24.0,23.0,3.0,4.0
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Virgin Australia,2015-11-01,59.0,56,3.0,51.0,50.0,5.0,6.0
Sydney-Darwin,Sydney,Darwin,Virgin Australia,2015-11-01,30.0,30,0.0,27.0,23.0,3.0,7.0
Sydney-Gold Coast,Sydney,Gold Coast,Virgin Australia,2015-11-01,254.0,249,5.0,221.0,210.0,28.0,39.0
Sydney-Hamilton Island,Sydney,Hamilton Island,Virgin Australia,2015-11-01,30.0,30,0.0,28.0,28.0,2.0,2.0
Sydney-Hobart,Sydney,Hobart,Virgin Australia,2015-11-01,60.0,60,0.0,51.0,51.0,9.0,9.0
Sydney-Launceston,Sydney,Launceston,Virgin Australia,2015-11-01,30.0,30,0.0,24.0,22.0,6.0,8.0
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2015-11-01,773.0,755,18.0,647.0,592.0,108.0,163.0
Sydney-Perth,Sydney,Perth,Virgin Australia,2015-11-01,116.0,116,0.0,99.0,103.0,17.0,13.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Virgin Australia,2015-11-01,30.0,30,0.0,30.0,30.0,0.0,0.0
Sydney-Townsville,Sydney,Townsville,Virgin Australia,2015-11-01,29.0,29,0.0,27.0,27.0,2.0,2.0
Townsville-Brisbane,Townsville,Brisbane,Virgin Australia,2015-11-01,150.0,149,1.0,134.0,134.0,15.0,15.0
Townsville-Sydney,Townsville,Sydney,Virgin Australia,2015-11-01,29.0,29,0.0,26.0,26.0,3.0,3.0
Albury-Sydney,Albury,Sydney,Virgin Australia Regional Airlines,2015-11-01,60.0,60,0.0,50.0,47.0,10.0,13.0
Brisbane-Bundaberg,Brisbane,Bundaberg,Virgin Australia Regional Airlines,2015-11-01,40.0,40,0.0,37.0,37.0,3.0,3.0
Brisbane-Emerald,Brisbane,Emerald,Virgin Australia Regional Airlines,2015-11-01,77.0,77,0.0,60.0,55.0,17.0,22.0
Brisbane-Gladstone,Brisbane,Gladstone,Virgin Australia Regional Airlines,2015-11-01,76.0,76,0.0,66.0,62.0,10.0,14.0
Brisbane-Moranbah,Brisbane,Moranbah,Virgin Australia Regional Airlines,2015-11-01,71.0,71,0.0,60.0,63.0,11.0,8.0
Brisbane-Rockhampton,Brisbane,Rockhampton,Virgin Australia Regional Airlines,2015-11-01,80.0,74,6.0,67.0,65.0,7.0,9.0
Broome-Perth,Broome,Perth,Virgin Australia Regional Airlines,2015-11-01,35.0,34,1.0,28.0,23.0,6.0,11.0
Bundaberg-Brisbane,Bundaberg,Brisbane,Virgin Australia Regional Airlines,2015-11-01,39.0,39,0.0,33.0,35.0,6.0,4.0
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia Regional Airlines,2015-11-01,28.0,28,0.0,26.0,26.0,2.0,2.0
Canberra-Sydney,Canberra,Sydney,Virgin Australia Regional Airlines,2015-11-01,272.0,267,5.0,231.0,230.0,36.0,37.0
Emerald-Brisbane,Emerald,Brisbane,Virgin Australia Regional Airlines,2015-11-01,77.0,77,0.0,58.0,59.0,19.0,18.0
Geraldton-Perth,Geraldton,Perth,Virgin Australia Regional Airlines,2015-11-01,86.0,85,1.0,71.0,75.0,14.0,10.0
Gladstone-Brisbane,Gladstone,Brisbane,Virgin Australia Regional Airlines,2015-11-01,75.0,75,0.0,64.0,65.0,11.0,10.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia Regional Airlines,2015-11-01,24.0,24,0.0,21.0,19.0,3.0,5.0
Karratha-Perth,Karratha,Perth,Virgin Australia Regional Airlines,2015-11-01,41.0,41,0.0,36.0,34.0,5.0,7.0
Launceston-Melbourne,Launceston,Melbourne,Virgin Australia Regional Airlines,2015-11-01,4.0,4,0.0,2.0,2.0,2.0,2.0
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia Regional Airlines,2015-11-01,30.0,30,0.0,25.0,26.0,5.0,4.0
Melbourne-Launceston,Melbourne,Launceston,Virgin Australia Regional Airlines,2015-11-01,4.0,4,0.0,4.0,4.0,0.0,0.0
Moranbah-Brisbane,Moranbah,Brisbane,Virgin Australia Regional Airlines,2015-11-01,71.0,70,1.0,60.0,56.0,10.0,14.0
Newman-Perth,Newman,Perth,Virgin Australia Regional Airlines,2015-11-01,14.0,14,0.0,13.0,12.0,1.0,2.0
Perth-Broome,Perth,Broome,Virgin Australia Regional Airlines,2015-11-01,35.0,35,0.0,29.0,24.0,6.0,11.0
Perth-Geraldton,Perth,Geraldton,Virgin Australia Regional Airlines,2015-11-01,80.0,79,1.0,69.0,66.0,10.0,13.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Virgin Australia Regional Airlines,2015-11-01,24.0,24,0.0,21.0,18.0,3.0,6.0
Perth-Karratha,Perth,Karratha,Virgin Australia Regional Airlines,2015-11-01,41.0,41,0.0,34.0,31.0,7.0,10.0
Perth-Newman,Perth,Newman,Virgin Australia Regional Airlines,2015-11-01,14.0,14,0.0,12.0,11.0,2.0,3.0
Port Macquarie-Sydney,Port Macquarie,Sydney,Virgin Australia Regional Airlines,2015-11-01,59.0,58,1.0,46.0,42.0,12.0,16.0
Rockhampton-Brisbane,Rockhampton,Brisbane,Virgin Australia Regional Airlines,2015-11-01,78.0,72,6.0,67.0,67.0,5.0,5.0
Sydney-Albury,Sydney,Albury,Virgin Australia Regional Airlines,2015-11-01,60.0,60,0.0,52.0,52.0,8.0,8.0
Sydney-Canberra,Sydney,Canberra,Virgin Australia Regional Airlines,2015-11-01,272.0,267,5.0,213.0,214.0,54.0,53.0
Sydney-Port Macquarie,Sydney,Port Macquarie,Virgin Australia Regional Airlines,2015-11-01,59.0,57,2.0,43.0,41.0,14.0,16.0
Sydney-Tamworth,Sydney,Tamworth,Virgin Australia Regional Airlines,2015-11-01,26.0,26,0.0,18.0,18.0,8.0,8.0
Tamworth-Sydney,Tamworth,Sydney,Virgin Australia Regional Airlines,2015-11-01,26.0,26,0.0,18.0,18.0,8.0,8.0
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,2015-12-01,31.0,31,0.0,23.0,22.0,8.0,9.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Jetstar,2015-12-01,40.0,40,0.0,27.0,29.0,13.0,11.0
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,2015-12-01,123.0,120,3.0,82.0,81.0,38.0,39.0
Adelaide-Perth,Adelaide,Perth,Jetstar,2015-12-01,31.0,28,3.0,18.0,23.0,10.0,5.0
Adelaide-Sydney,Adelaide,Sydney,Jetstar,2015-12-01,146.0,134,12.0,90.0,96.0,44.0,38.0
Ayers Rock-Sydney,Ayers Rock,Sydney,Jetstar,2015-12-01,21.0,21,0.0,13.0,16.0,8.0,5.0
Ballina-Sydney,Ballina,Sydney,Jetstar,2015-12-01,88.0,87,1.0,53.0,59.0,34.0,28.0
Brisbane-Adelaide,Brisbane,Adelaide,Jetstar,2015-12-01,31.0,31,0.0,27.0,28.0,4.0,3.0
Brisbane-Cairns,Brisbane,Cairns,Jetstar,2015-12-01,129.0,129,0.0,77.0,96.0,52.0,33.0
Brisbane-Darwin,Brisbane,Darwin,Jetstar,2015-12-01,31.0,31,0.0,21.0,18.0,10.0,13.0
Brisbane-Hobart,Brisbane,Hobart,Jetstar,2015-12-01,31.0,31,0.0,30.0,30.0,1.0,1.0
Brisbane-Mackay,Brisbane,Mackay,Jetstar,2015-12-01,48.0,48,0.0,32.0,36.0,16.0,12.0
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2015-12-01,150.0,144,6.0,105.0,113.0,39.0,31.0
Brisbane-Newcastle,Brisbane,Newcastle,Jetstar,2015-12-01,92.0,90,2.0,67.0,64.0,23.0,26.0
Brisbane-Proserpine,Brisbane,Proserpine,Jetstar,2015-12-01,31.0,31,0.0,18.0,21.0,13.0,10.0
Brisbane-Sydney,Brisbane,Sydney,Jetstar,2015-12-01,202.0,180,22.0,117.0,120.0,63.0,60.0
Brisbane-Townsville,Brisbane,Townsville,Jetstar,2015-12-01,46.0,46,0.0,29.0,35.0,17.0,11.0
Cairns-Brisbane,Cairns,Brisbane,Jetstar,2015-12-01,129.0,129,0.0,105.0,107.0,24.0,22.0
Cairns-Melbourne,Cairns,Melbourne,Jetstar,2015-12-01,105.0,101,4.0,68.0,64.0,33.0,37.0
Cairns-Sydney,Cairns,Sydney,Jetstar,2015-12-01,111.0,109,2.0,86.0,83.0,23.0,26.0
Darwin-Brisbane,Darwin,Brisbane,Jetstar,2015-12-01,31.0,31,0.0,17.0,22.0,14.0,9.0
Darwin-Melbourne,Darwin,Melbourne,Jetstar,2015-12-01,27.0,27,0.0,8.0,11.0,19.0,16.0
Darwin-Sydney,Darwin,Sydney,Jetstar,2015-12-01,28.0,27,1.0,17.0,18.0,10.0,9.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,2015-12-01,40.0,40,0.0,29.0,29.0,11.0,11.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,2015-12-01,257.0,239,18.0,161.0,181.0,78.0,58.0
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,2015-12-01,364.0,345,19.0,229.0,245.0,116.0,100.0
Hamilton Island-Sydney,Hamilton Island,Sydney,Jetstar,2015-12-01,31.0,31,0.0,15.0,16.0,16.0,15.0
Hobart-Brisbane,Hobart,Brisbane,Jetstar,2015-12-01,31.0,31,0.0,24.0,26.0,7.0,5.0
Hobart-Melbourne,Hobart,Melbourne,Jetstar,2015-12-01,230.0,229,1.0,111.0,136.0,118.0,93.0
Hobart-Sydney,Hobart,Sydney,Jetstar,2015-12-01,128.0,126,2.0,75.0,81.0,51.0,45.0
Launceston-Melbourne,Launceston,Melbourne,Jetstar,2015-12-01,196.0,193,3.0,131.0,143.0,62.0,50.0
Launceston-Sydney,Launceston,Sydney,Jetstar,2015-12-01,86.0,85,1.0,54.0,54.0,31.0,31.0
Mackay-Brisbane,Mackay,Brisbane,Jetstar,2015-12-01,48.0,47,1.0,23.0,25.0,24.0,22.0
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,2015-12-01,123.0,118,5.0,70.0,68.0,48.0,50.0
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,2015-12-01,149.0,143,6.0,84.0,96.0,59.0,47.0
Melbourne-Cairns,Melbourne,Cairns,Jetstar,2015-12-01,105.0,101,4.0,51.0,62.0,50.0,39.0
Melbourne-Darwin,Melbourne,Darwin,Jetstar,2015-12-01,27.0,27,0.0,17.0,20.0,10.0,7.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,2015-12-01,255.0,239,16.0,141.0,159.0,98.0,80.0
Melbourne-Hobart,Melbourne,Hobart,Jetstar,2015-12-01,232.0,231,1.0,133.0,150.0,98.0,81.0
Melbourne-Launceston,Melbourne,Launceston,Jetstar,2015-12-01,197.0,193,4.0,143.0,142.0,50.0,51.0
Melbourne-Newcastle,Melbourne,Newcastle,Jetstar,2015-12-01,102.0,100,2.0,61.0,62.0,39.0,38.0
Melbourne-Perth,Melbourne,Perth,Jetstar,2015-12-01,90.0,47,43.0,13.0,23.0,34.0,24.0
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Jetstar,2015-12-01,93.0,91,2.0,51.0,59.0,40.0,32.0
Melbourne-Sydney,Melbourne,Sydney,Jetstar,2015-12-01,394.0,367,27.0,189.0,208.0,178.0,159.0
Newcastle-Brisbane,Newcastle,Brisbane,Jetstar,2015-12-01,92.0,90,2.0,70.0,62.0,20.0,28.0
Newcastle-Melbourne,Newcastle,Melbourne,Jetstar,2015-12-01,100.0,100,0.0,63.0,68.0,37.0,32.0
Perth-Adelaide,Perth,Adelaide,Jetstar,2015-12-01,31.0,27,4.0,19.0,17.0,8.0,10.0
Perth-Melbourne,Perth,Melbourne,Jetstar,2015-12-01,91.0,47,44.0,9.0,14.0,38.0,33.0
Perth-Sydney,Perth,Sydney,Jetstar,2015-12-01,31.0,31,0.0,19.0,21.0,12.0,10.0
Proserpine-Brisbane,Proserpine,Brisbane,Jetstar,2015-12-01,31.0,31,0.0,16.0,19.0,15.0,12.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Jetstar,2015-12-01,94.0,92,2.0,53.0,56.0,39.0,36.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Jetstar,2015-12-01,128.0,124,4.0,67.0,71.0,57.0,53.0
Sydney-Adelaide,Sydney,Adelaide,Jetstar,2015-12-01,145.0,137,8.0,73.0,79.0,64.0,58.0
Sydney-Ayers Rock,Sydney,Ayers Rock,Jetstar,2015-12-01,22.0,22,0.0,14.0,15.0,8.0,7.0
Sydney-Ballina,Sydney,Ballina,Jetstar,2015-12-01,89.0,89,0.0,62.0,61.0,27.0,28.0
Sydney-Brisbane,Sydney,Brisbane,Jetstar,2015-12-01,200.0,180,20.0,109.0,109.0,71.0,71.0
Sydney-Cairns,Sydney,Cairns,Jetstar,2015-12-01,110.0,108,2.0,60.0,82.0,48.0,26.0
Sydney-Darwin,Sydney,Darwin,Jetstar,2015-12-01,28.0,27,1.0,16.0,19.0,11.0,8.0
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,2015-12-01,362.0,343,19.0,238.0,240.0,105.0,103.0
Sydney-Hamilton Island,Sydney,Hamilton Island,Jetstar,2015-12-01,31.0,31,0.0,20.0,19.0,11.0,12.0
Sydney-Hobart,Sydney,Hobart,Jetstar,2015-12-01,129.0,128,1.0,85.0,94.0,43.0,34.0
Sydney-Launceston,Sydney,Launceston,Jetstar,2015-12-01,85.0,85,0.0,59.0,65.0,26.0,20.0
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2015-12-01,393.0,364,29.0,193.0,210.0,171.0,154.0
Sydney-Perth,Sydney,Perth,Jetstar,2015-12-01,31.0,31,0.0,14.0,22.0,17.0,9.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Jetstar,2015-12-01,129.0,125,4.0,75.0,85.0,50.0,40.0
Sydney-Townsville,Sydney,Townsville,Jetstar,2015-12-01,29.0,28,1.0,13.0,20.0,15.0,8.0
Townsville-Brisbane,Townsville,Brisbane,Jetstar,2015-12-01,46.0,46,0.0,33.0,35.0,13.0,11.0
Townsville-Sydney,Townsville,Sydney,Jetstar,2015-12-01,29.0,28,1.0,16.0,17.0,12.0,11.0
Adelaide-Alice Springs,Adelaide,Alice Springs,Qantas,2015-12-01,31.0,31,0.0,29.0,29.0,2.0,2.0
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,2015-12-01,118.0,118,0.0,114.0,113.0,4.0,5.0
Adelaide-Canberra,Adelaide,Canberra,Qantas,2015-12-01,46.0,46,0.0,45.0,45.0,1.0,1.0
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,2015-12-01,279.0,277,2.0,247.0,255.0,30.0,22.0
Adelaide-Perth,Adelaide,Perth,Qantas,2015-12-01,124.0,123,1.0,112.0,116.0,11.0,7.0
Adelaide-Sydney,Adelaide,Sydney,Qantas,2015-12-01,246.0,246,0.0,228.0,225.0,18.0,21.0
Alice Springs-Adelaide,Alice Springs,Adelaide,Qantas,2015-12-01,31.0,31,0.0,24.0,25.0,7.0,6.0
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,2015-12-01,118.0,118,0.0,112.0,114.0,6.0,4.0
Brisbane-Cairns,Brisbane,Cairns,Qantas,2015-12-01,126.0,126,0.0,112.0,116.0,14.0,10.0
Brisbane-Canberra,Brisbane,Canberra,Qantas,2015-12-01,27.0,27,0.0,25.0,26.0,2.0,1.0
Brisbane-Darwin,Brisbane,Darwin,Qantas,2015-12-01,49.0,49,0.0,46.0,44.0,3.0,5.0
Brisbane-Hobart,Brisbane,Hobart,Qantas,2015-12-01,1.0,1,0.0,1.0,1.0,0.0,0.0
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2015-12-01,447.0,443,4.0,397.0,403.0,46.0,40.0
Brisbane-Mount Isa,Brisbane,Mount Isa,Qantas,2015-12-01,37.0,37,0.0,36.0,36.0,1.0,1.0
Brisbane-Perth,Brisbane,Perth,Qantas,2015-12-01,137.0,137,0.0,109.0,115.0,28.0,22.0
Brisbane-Sydney,Brisbane,Sydney,Qantas,2015-12-01,655.0,640,15.0,574.0,559.0,66.0,81.0
Brisbane-Townsville,Brisbane,Townsville,Qantas,2015-12-01,147.0,147,0.0,124.0,128.0,23.0,19.0
Broome-Perth,Broome,Perth,Qantas,2015-12-01,22.0,22,0.0,19.0,21.0,3.0,1.0
Cairns-Brisbane,Cairns,Brisbane,Qantas,2015-12-01,126.0,126,0.0,115.0,116.0,11.0,10.0
Cairns-Melbourne,Cairns,Melbourne,Qantas,2015-12-01,39.0,39,0.0,39.0,38.0,0.0,1.0
Cairns-Sydney,Cairns,Sydney,Qantas,2015-12-01,86.0,86,0.0,79.0,79.0,7.0,7.0
Canberra-Adelaide,Canberra,Adelaide,Qantas,2015-12-01,46.0,46,0.0,43.0,44.0,3.0,2.0
Canberra-Brisbane,Canberra,Brisbane,Qantas,2015-12-01,27.0,27,0.0,25.0,25.0,2.0,2.0
Canberra-Melbourne,Canberra,Melbourne,Qantas,2015-12-01,155.0,155,0.0,140.0,143.0,15.0,12.0
Darwin-Brisbane,Darwin,Brisbane,Qantas,2015-12-01,49.0,49,0.0,41.0,48.0,8.0,1.0
Darwin-Melbourne,Darwin,Melbourne,Qantas,2015-12-01,30.0,30,0.0,27.0,28.0,3.0,2.0
Darwin-Perth,Darwin,Perth,Qantas,2015-12-01,42.0,42,0.0,40.0,40.0,2.0,2.0
Darwin-Sydney,Darwin,Sydney,Qantas,2015-12-01,49.0,49,0.0,46.0,46.0,3.0,3.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,2015-12-01,31.0,31,0.0,28.0,28.0,3.0,3.0
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,2015-12-01,107.0,107,0.0,98.0,99.0,9.0,8.0
Hamilton Island-Melbourne,Hamilton Island,Melbourne,Qantas,2015-12-01,12.0,12,0.0,12.0,12.0,0.0,0.0
Hamilton Island-Sydney,Hamilton Island,Sydney,Qantas,2015-12-01,15.0,14,1.0,9.0,9.0,5.0,5.0
Hobart-Brisbane,Hobart,Brisbane,Qantas,2015-12-01,1.0,1,0.0,1.0,1.0,0.0,0.0
Hobart-Melbourne,Hobart,Melbourne,Qantas,2015-12-01,21.0,21,0.0,15.0,16.0,6.0,5.0
Hobart-Sydney,Hobart,Sydney,Qantas,2015-12-01,6.0,6,0.0,3.0,6.0,3.0,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,2015-12-01,11.0,11,0.0,10.0,10.0,1.0,1.0
Karratha-Perth,Karratha,Perth,Qantas,2015-12-01,47.0,45,2.0,43.0,45.0,2.0,0.0
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,2015-12-01,279.0,277,2.0,246.0,249.0,31.0,28.0
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,2015-12-01,445.0,441,4.0,385.0,388.0,56.0,53.0
Melbourne-Cairns,Melbourne,Cairns,Qantas,2015-12-01,39.0,39,0.0,39.0,39.0,0.0,0.0
Melbourne-Canberra,Melbourne,Canberra,Qantas,2015-12-01,155.0,155,0.0,140.0,145.0,15.0,10.0
Melbourne-Darwin,Melbourne,Darwin,Qantas,2015-12-01,30.0,30,0.0,28.0,29.0,2.0,1.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,2015-12-01,31.0,31,0.0,28.0,27.0,3.0,4.0
Melbourne-Hamilton Island,Melbourne,Hamilton Island,Qantas,2015-12-01,12.0,12,0.0,12.0,12.0,0.0,0.0
Melbourne-Hobart,Melbourne,Hobart,Qantas,2015-12-01,21.0,21,0.0,16.0,16.0,5.0,5.0
Melbourne-Perth,Melbourne,Perth,Qantas,2015-12-01,211.0,211,0.0,165.0,173.0,46.0,38.0
Melbourne-Sydney,Melbourne,Sydney,Qantas,2015-12-01,925.0,907,18.0,763.0,744.0,144.0,163.0
Mount Isa-Brisbane,Mount Isa,Brisbane,Qantas,2015-12-01,37.0,37,0.0,35.0,35.0,2.0,2.0
Newman-Perth,Newman,Perth,Qantas,2015-12-01,78.0,77,1.0,76.0,76.0,1.0,1.0
Perth-Adelaide,Perth,Adelaide,Qantas,2015-12-01,129.0,128,1.0,124.0,122.0,4.0,6.0
Perth-Brisbane,Perth,Brisbane,Qantas,2015-12-01,138.0,138,0.0,126.0,118.0,12.0,20.0
Perth-Broome,Perth,Broome,Qantas,2015-12-01,22.0,22,0.0,20.0,21.0,2.0,1.0
Perth-Darwin,Perth,Darwin,Qantas,2015-12-01,42.0,42,0.0,41.0,41.0,1.0,1.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,2015-12-01,11.0,11,0.0,11.0,11.0,0.0,0.0
Perth-Karratha,Perth,Karratha,Qantas,2015-12-01,47.0,46,1.0,46.0,46.0,0.0,0.0
Perth-Melbourne,Perth,Melbourne,Qantas,2015-12-01,210.0,210,0.0,178.0,180.0,32.0,30.0
Perth-Newman,Perth,Newman,Qantas,2015-12-01,78.0,78,0.0,77.0,78.0,1.0,0.0
Perth-Port Hedland,Perth,Port Hedland,Qantas,2015-12-01,70.0,68,2.0,65.0,66.0,3.0,2.0
Perth-Sydney,Perth,Sydney,Qantas,2015-12-01,213.0,213,0.0,191.0,185.0,22.0,28.0
Port Hedland-Perth,Port Hedland,Perth,Qantas,2015-12-01,70.0,67,3.0,63.0,63.0,4.0,4.0
Sydney-Adelaide,Sydney,Adelaide,Qantas,2015-12-01,241.0,241,0.0,206.0,214.0,35.0,27.0
Sydney-Brisbane,Sydney,Brisbane,Qantas,2015-12-01,647.0,631,16.0,545.0,540.0,86.0,91.0
Sydney-Cairns,Sydney,Cairns,Qantas,2015-12-01,86.0,86,0.0,82.0,81.0,4.0,5.0
Sydney-Darwin,Sydney,Darwin,Qantas,2015-12-01,49.0,49,0.0,44.0,45.0,5.0,4.0
Sydney-Gold Coast,Sydney,Gold Coast,Qantas,2015-12-01,107.0,107,0.0,97.0,99.0,10.0,8.0
Sydney-Hamilton Island,Sydney,Hamilton Island,Qantas,2015-12-01,15.0,14,1.0,13.0,12.0,1.0,2.0
Sydney-Hobart,Sydney,Hobart,Qantas,2015-12-01,6.0,6,0.0,6.0,6.0,0.0,0.0
Sydney-Melbourne,Sydney,Melbourne,Qantas,2015-12-01,926.0,909,17.0,773.0,754.0,136.0,155.0
Sydney-Perth,Sydney,Perth,Qantas,2015-12-01,219.0,219,0.0,172.0,180.0,47.0,39.0
Townsville-Brisbane,Townsville,Brisbane,Qantas,2015-12-01,147.0,147,0.0,136.0,138.0,11.0,9.0
Adelaide-Port Lincoln,Adelaide,Port Lincoln,QantasLink,2015-12-01,120.0,120,0.0,104.0,102.0,16.0,18.0
Adelaide-Sydney,Adelaide,Sydney,QantasLink,2015-12-01,25.0,23,2.0,17.0,18.0,6.0,5.0
Albury-Sydney,Albury,Sydney,QantasLink,2015-12-01,93.0,93,0.0,83.0,81.0,10.0,12.0
Alice Springs-Darwin,Alice Springs,Darwin,QantasLink,2015-12-01,42.0,42,0.0,40.0,40.0,2.0,2.0
Armidale-Sydney,Armidale,Sydney,QantasLink,2015-12-01,134.0,130,4.0,91.0,98.0,39.0,32.0
Brisbane-Bundaberg,Brisbane,Bundaberg,QantasLink,2015-12-01,136.0,134,2.0,123.0,122.0,11.0,12.0
Brisbane-Cairns,Brisbane,Cairns,QantasLink,2015-12-01,4.0,4,0.0,4.0,3.0,0.0,1.0
