serial_number,activity_date,name,score,grade,facility_address,facility_zip,owner_id,owner_name,pe_description,risk_level
DALJSXGSY,12/12/2017,MEDIA SERVICES CAFE,95,,500 S SEPULVEDA BLVD 1FL,90049,OW0130833,MEDIA SERVICES CAFE LLC,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAQTBPHMV,12/12/2017,CHADO TEA ROOM,95,,100 N CENTRAL AVE,90012,OW0035175,"TEA PEARLS, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DASTNV6MQ,12/12/2017,TAPAS AND WINE BAR C,95,,428 E 2ND ST,90012,OW0034864,TAKAO KAGAYA CORP,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAT4SLLQF,12/12/2017,GOT KOSHER?,95,,8758 W PICO BLVD,90035,OW0019908,"KOSHER FOODS UNLIMITED, INC.","FOOD PROCESSING WHOLESALE (2,000-5,999 SF)",Unknown
DAB9VYHZH,12/12/2017,SHAGNHAI BAN JUM,96,,440 S VERMONT AVE STE 102,90020,OW0031444,SAMWOL INC.,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA1KLK3QX,12/12/2017,FIRST STREET CUISINE,96,,2200 E 15TH ST,90021,OW0181981,RICKY ROMO INC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA9AKRMRB,12/12/2017,GOLFO DE FONSECA MARKET,96,,804 N VERMONT AVE,90029,OW0037987,"VILLATA, CONCEPCION","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DAENFTIG0,12/12/2017,IVY MINI MARKET,96,,663 N HELIOTROPE DR,90004,OW0029416,RAHMAN MOHAMMAD ATIAR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DAVO9GL3D,12/12/2017,HOP LI SEAFOOD RESTAURANT,96,,11901 SANTA MONICA BLVD STE 102,90025,OW0016335,HOP KEE SEAFOOD REST #8 INC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAWYDPUKV,12/12/2017,BLUE WHALE,96,,123 ASTRONAUT ELLISON ONIZUKA ST #301,90012,OW0004875,BLUE WHALE MUSIC INC.,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAN109SMR,12/12/2017,GALLERIA MARKET,97,,440 S VERMONT AVE,90020,OW0012651,"GALLERIA MARKET, LP",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DACZTCYKO,12/12/2017,LOUIGI'S,97,,1644 SAWTELLE BLVD,90025,OW0022326,LOUIGI'S INC,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAL3S3TUN,12/12/2017,7-ELEVEN STORE 37061A,97,,3981 WHITTIER BLVD,90023-2441,OW0238219,"ONS KHAKH, INC.","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",MODERATE
DAOYXQIYC,12/12/2017,SEEDS MARKET PLACE,97,,3607 TROUSDALE PKWY,90089,OW0037014,USC HOSPITALITY SERVICES,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",HIGH
DAPHWEKAU,12/12/2017,ALIPAPA MINI MARKET,97,,910 N VERMONT AVE,90029,OW0245264,ACHYUTA KUMAR CHAKRABORTY,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
